Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MA Leask (SCOT),2013-2016,13,9,0,102,58,11.33,96,106.25,0,1,1,7,5
JDS Neesham (NZ),2012-2015,13,10,3,102,28,14.57,76,134.21,0,0,1,12,3
B Lee (AUS),2005-2012,25,12,6,101,43,16.83,71,142.25,0,0,2,9,4
Wahab Riaz (PAK),2008-2016,23,12,4,101,30,12.62,95,106.31,0,0,2,8,3
S Dhaniram (Can),2008-2010,11,9,0,100,26,11.11,123,81.3,0,0,0,6,2
KD Karthik (INDIA),2006-2010,9,8,2,100,31,16.66,88,113.63,0,0,1,14,1
SW Billings (ENG),2015-2016,7,6,0,99,53,16.5,66,150,0,1,0,9,4
CR Brathwaite (WI),2011-2016,13,9,2,99,34,14.14,60,165,0,0,1,5,9
Amir Ali (Oman),2015-2016,10,8,3,97,32,19.4,65,149.23,0,0,0,11,2
NR Kumar (Can),2012-2013,6,6,0,97,38,16.16,95,102.1,0,0,0,10,1
Muhammad Kaleem (UAE),2016-2016,9,9,0,97,50,10.77,116,83.62,0,1,1,9,3
AM Samad (Can),2008-2010,7,6,0,97,29,16.16,88,110.22,0,0,1,8,4
XM Marshall (WI),2008-2009,6,6,0,96,36,16,77,124.67,0,0,1,8,4
RS Morton (WI),2006-2010,7,7,1,96,40,16,103,93.2,0,0,1,8,2
MJG Rippon (Neth),2013-2016,14,7,3,96,25,24,91,105.49,0,0,1,4,1
MH Yardy (ENG),2006-2011,14,8,5,96,35,32,72,133.33,0,0,3,9,1
TM Odoyo (Kenya),2007-2013,11,10,0,95,22,9.5,119,79.83,0,0,1,6,2
NS Poonia (SCOT),2007-2010,8,7,2,95,38,19,108,87.96,0,0,2,3,1
JH Stander (SCOT),2009-2012,11,11,2,94,45,10.44,90,104.44,0,0,3,6,4
P Utseya (ZIM),2006-2015,35,21,9,94,13,7.83,115,81.73,0,0,3,6,1
Mohammad Naveed (UAE),2015-2016,14,12,5,92,19,13.14,88,104.54,0,0,1,8,4
MC Sorensen (IRE),2012-2016,26,11,6,92,26,18.4,79,116.45,0,0,1,4,3
D Wiese (SA),2013-2016,20,11,4,92,28,13.14,75,122.66,0,0,1,4,3
Yasir Arafat (PAK),2007-2012,13,11,4,92,17,13.14,79,116.45,0,0,0,8,2
MD Gunathilaka (SL),2016-2016,5,5,0,91,46,18.2,76,119.73,0,0,0,8,3
KM Jadhav (INDIA),2015-2016,5,4,0,91,58,22.75,68,133.82,0,1,0,9,2
Raees Ahmadzai (AFG),2010-2010,8,6,3,91,33,30.33,84,108.33,0,0,0,5,1
Saeed Ajmal (PAK),2009-2015,64,23,12,91,21,8.27,86,105.81,0,0,3,7,2
CR Woakes (ENG),2011-2015,8,7,4,91,37,30.33,63,144.44,0,0,1,4,5
CJA Amini (PNG),2015-2016,6,5,1,90,37,22.5,97,92.78,0,0,0,4,1
GM Hamilton (SCOT),2007-2010,12,8,0,90,32,11.25,110,81.81,0,0,0,6,1
Sagar Pun (Nepal),2014-2015,9,9,0,90,20,10,100,90,0,0,0,13,0
DLS van Bunge (Neth),2008-2013,14,12,4,90,24,11.25,104,86.53,0,0,2,2,3
GH Worker (NZ),2015-2015,2,2,0,90,62,45,64,140.62,0,1,0,6,5
Mandeep Singh (INDIA),2016-2016,3,3,1,87,52,43.5,73,119.17,0,1,0,11,1
DI Allan (Kenya),2012-2013,10,10,0,86,18,8.6,135,63.7,0,0,0,7,0
GJ Hopkins (NZ),2007-2010,10,8,0,86,36,10.75,71,121.12,0,0,0,5,5
Imad Wasim (PAK),2015-2016,15,9,4,86,24,17.2,55,156.36,0,0,2,6,4
T Maruma (ZIM),2008-2016,10,10,4,86,23,14.33,83,103.61,0,0,1,6,3
SM Pollock (SA),2005-2008,12,9,2,86,36,12.28,70,122.85,0,0,3,4,4
Shamsur Rahman (BDESH),2013-2014,9,8,0,86,53,10.75,85,101.17,0,1,2,12,1
Sultan Ahmed (Oman),2015-2016,13,9,2,86,37,12.28,68,126.47,0,0,3,12,0
Mohammad Mithun (BDESH),2014-2016,12,8,0,85,47,10.62,93,91.39,0,0,2,6,3
Sompal Kami (Nepal),2014-2015,11,7,2,85,40,17,78,108.97,0,0,0,9,3
RML Taylor (SCOT),2013-2016,9,6,3,85,41,28.33,58,146.55,0,0,0,6,4
A Balbirnie (IRE),2015-2016,10,7,0,84,31,12,94,89.36,0,0,1,9,0
JE Taylor (WI),2006-2016,23,12,6,84,21,14,75,112,0,0,1,7,3
JK Kamande (Kenya),2007-2010,12,9,0,83,42,9.22,92,90.21,0,0,2,5,3
N Vanua (PNG),2015-2016,6,5,3,83,28,41.5,48,172.91,0,0,0,3,7
AS Hansra (Can),2012-2013,8,8,2,82,30,13.66,85,96.47,0,0,0,4,3
TM Head (AUS),2016-2016,4,4,1,82,45,27.33,52,157.69,0,0,0,5,5
SW Poynter (IRE),2015-2016,10,8,0,82,35,10.25,87,94.25,0,0,0,5,2
Faizan Asif (UAE),2014-2015,6,6,0,80,28,13.33,64,125,0,0,0,9,3
Waqas Barkat (HK),2014-2016,10,8,1,80,32,11.42,92,86.95,0,0,1,10,0
CD Barnwell (WI),2011-2013,6,6,2,78,34,19.5,62,125.8,0,0,1,4,4
HH Pandya (INDIA),2016-2016,16,7,0,78,31,11.14,56,139.28,0,0,1,7,4
DAJ Bracewell (NZ),2011-2015,14,8,5,77,21,25.66,56,137.5,0,0,1,5,4
KD Shah (HK),2014-2016,15,11,2,77,29,8.55,98,78.57,0,0,3,7,1
ML Udawatte (SL),2008-2009,5,5,0,77,25,15.4,64,120.31,0,0,1,8,2
A Flintoff (ENG),2005-2007,7,7,1,76,31,12.66,60,126.66,0,0,1,7,2
Imran Farhat (PAK),2010-2011,7,7,0,76,19,10.85,70,108.57,0,0,1,14,0
Irfan Ahmed (HK),2014-2015,8,8,0,76,34,9.5,83,91.56,0,0,2,4,6
NFI McCallum (SCOT),2007-2010,11,7,0,76,38,10.85,85,89.41,0,0,3,7,1
S Matsikenyeri (ZIM),2006-2012,10,10,0,76,32,7.6,82,92.68,0,0,2,6,3
VS Solanki (ENG),2005-2007,3,3,0,76,43,25.33,61,124.59,0,0,0,10,1
Umar Amin (PAK),2013-2014,10,6,0,76,47,12.66,72,105.55,0,0,2,12,0
TG Southee (NZ),2008-2015,38,15,5,75,23,7.5,69,108.69,0,0,2,6,3
NJ Astle (NZ),2005-2006,4,4,1,74,40,24.66,67,110.44,0,0,0,7,2
KO Otieno (Kenya),2008-2008,4,4,0,74,40,18.5,79,93.67,0,0,0,5,2
Khurram Khan (UAE),2014-2014,3,3,0,73,31,24.33,73,100,0,0,0,8,0
AJ Strauss (ENG),2005-2009,4,4,0,73,33,18.25,64,114.06,0,0,1,9,0
DJ Willey (ENG),2015-2016,12,8,3,73,21,14.6,59,123.72,0,0,1,2,5
Farhad Reza (BDESH),2006-2014,13,9,0,72,19,8,88,81.81,0,0,1,4,2
SL Malinga (SL),2006-2016,62,18,7,71,27,6.45,87,81.6,0,0,4,3,3
Awais Zia (PAK),2012-2014,5,5,0,70,23,14,80,87.5,0,0,0,4,3
SM Katich (AUS),2005-2006,3,2,0,69,39,34.5,47,146.8,0,0,0,8,2
Mehran Khan (Oman),2015-2016,11,8,2,69,28,11.5,64,107.81,0,0,0,4,3
SR Thompson (IRE),2014-2016,17,11,3,69,26,8.62,64,107.81,0,0,1,6,2
TM Dowlin (WI),2009-2010,2,2,1,68,37,68,69,98.55,0,0,0,8,0
NT Broom (NZ),2009-2013,10,6,1,67,36,13.4,61,109.83,0,0,0,7,1
Imrul Kayes (BDESH),2010-2016,8,8,0,67,22,8.37,89,75.28,0,0,2,8,2
MK Pandey (INDIA),2015-2016,6,4,0,67,48,16.75,58,115.51,0,0,2,2,4
AG Cremer (ZIM),2008-2016,27,18,6,65,17,5.41,93,69.89,0,0,2,2,0
CA Lynn (AUS),2014-2016,5,4,1,65,33,21.66,48,135.41,0,0,0,3,4
Shoaib Khan jnr (PAK),2008-2008,4,4,0,65,50,16.25,74,87.83,0,1,1,7,0
RM Haq (SCOT),2007-2013,21,12,7,64,21,12.8,96,66.66,0,0,1,2,1
DP Hyatt (WI),2011-2012,5,5,1,64,28,16,54,118.51,0,0,0,4,4
DJ Reekers (Neth),2008-2009,6,5,0,64,29,12.8,49,130.61,0,0,1,10,2
CD Wallace (SCOT),2012-2015,8,5,3,63,26,31.5,49,128.57,0,0,0,7,0
AR Patel (INDIA),2015-2016,7,5,2,62,20,20.66,50,124,0,0,0,2,3
AN Cook (ENG),2007-2009,4,4,0,61,26,15.25,54,112.96,0,0,0,10,0
PD McGlashan (NZ),2006-2010,11,9,1,61,26,7.62,64,95.31,0,0,0,6,2
PM Seelaar (Neth),2008-2016,36,15,4,61,9,5.54,71,85.91,0,0,1,3,1
JWM Dalrymple (ENG),2006-2007,3,3,0,60,32,20,57,105.26,0,0,0,6,0
LM Jongwe (ZIM),2015-2016,8,7,0,60,34,8.57,65,92.3,0,0,2,4,1
N Madziva (ZIM),2015-2016,9,7,4,60,28,20,50,120,0,0,1,4,3
Mominul Haque (BDESH),2012-2014,6,4,1,60,26,20,50,120,0,0,0,5,2
P Mustard (ENG),2008-2008,2,2,0,60,40,30,37,162.16,0,0,0,5,4
Zeeshan Siddiqui (Oman),2015-2015,5,5,1,60,33,15,63,95.23,0,0,0,7,0
PS Airee (Nepal),2015-2015,7,7,0,59,29,8.42,53,111.32,0,0,3,8,0
Dawlat Zadran (AFG),2012-2016,29,15,7,59,13,7.37,37,159.45,0,0,3,4,5
DR Flynn (NZ),2008-2012,5,5,0,59,23,11.8,51,115.68,0,0,0,1,4
CJO Smith (SCOT),2007-2009,8,6,1,58,46,11.6,54,107.4,0,0,3,6,0
Alok Kapali (BDESH),2007-2011,7,7,2,57,19,11.4,85,67.05,0,0,2,3,1
Sohag Gazi (BDESH),2012-2015,10,7,3,57,24,14.25,59,96.61,0,0,0,3,1
JM How (NZ),2007-2008,5,5,0,56,31,11.2,67,83.58,0,0,0,5,1
SMSM Senanayake (SL),2012-2016,24,12,6,56,17,9.33,66,84.84,0,0,2,3,1
N Deonarine (WI),2010-2013,8,7,2,55,36,11,53,103.77,0,0,3,5,0
GB Hogg (AUS),2006-2014,15,4,0,55,41,13.75,39,141.02,0,0,0,3,3
SO Ngoche (Kenya),2010-2013,19,12,4,55,38,6.87,70,78.57,0,0,2,2,2
HS Baidwan (Can),2008-2013,17,11,2,54,21,6,52,103.84,0,0,4,4,1
GD Drummond (SCOT),2008-2013,17,7,0,54,35,7.71,65,83.07,0,0,2,3,0
Nurul Hasan (BDESH),2016-2016,6,5,2,54,30,18,43,125.58,0,0,1,7,0
Usman Limbada (Can),2010-2013,7,3,2,53,21,53,41,129.26,0,0,0,6,0
RP Magar (Nepal),2014-2015,6,6,0,52,25,8.66,89,58.42,0,0,1,0,3
S Prasanna (SL),2013-2016,8,8,2,52,21,8.66,46,113.04,0,0,0,4,2
IS Billcliff (Can),2010-2010,2,2,0,51,37,25.5,39,130.76,0,0,0,3,2
NM Coulter-Nile (AUS),2013-2016,17,7,2,51,16,10.2,43,118.6,0,0,2,1,5
TGJ Gruijters (Neth),2012-2013,8,5,3,51,21,25.5,47,108.51,0,0,0,3,1
Raqibul Hasan (BDESH),2008-2010,5,5,0,51,18,10.2,62,82.25,0,0,0,3,1
HA Varaiya (Kenya),2007-2013,25,12,11,51,18,51,81,62.96,0,0,0,1,0
Hamid Hassan (AFG),2010-2016,22,9,6,50,22,16.66,46,108.69,0,0,0,3,2
Mohammad Yousuf (PAK),2006-2010,3,3,0,50,26,16.66,43,116.27,0,0,0,5,1
U Bhatti (Can),2008-2010,7,7,3,49,12,12.25,48,102.08,0,0,0,3,1
CU Jayasinghe (SL),2009-2010,5,3,2,49,38,49,49,100,0,0,0,3,1
Liton Das (BDESH),2015-2015,3,3,0,49,22,16.33,45,108.88,0,0,0,3,1
SD Outerbridge (Ber),2008-2008,3,3,1,49,37,24.5,51,96.07,0,0,0,2,1
DA Rankin (IRE),2015-2016,2,2,0,49,34,24.5,54,90.74,0,0,0,3,2
Rashid Khan (AFG),2015-2016,14,5,3,49,15,24.5,36,136.11,0,0,0,4,3
K Weeraratne (SL),2008-2009,5,5,2,49,20,16.33,45,108.88,0,0,0,4,1
BKG Mendis (SL),2016-2016,3,3,0,48,22,16,36,133.33,0,0,0,3,3
S Bau (PNG),2016-2016,3,3,0,47,25,15.66,46,102.17,0,0,1,0,3
Junaid Siddiqui (Can),2012-2013,8,6,2,47,21,11.75,39,120.51,0,0,1,2,2
IA Karim (Kenya),2013-2013,7,7,0,47,15,6.71,82,57.31,0,0,2,2,1
KM Dabengwa (ZIM),2006-2010,8,7,3,46,16,11.5,40,115,0,0,0,4,2
JW Hastings (AUS),2010-2016,9,6,2,46,15,11.5,37,124.32,0,0,0,3,1
MM Iqbal (SCOT),2012-2013,6,3,0,46,31,15.33,45,102.22,0,0,0,4,1
NM Odhiambo (Kenya),2010-2013,8,5,2,46,26,15.33,72,63.88,0,0,1,4,1
JJ van der Wath (SA),2006-2007,8,4,1,46,21,15.33,39,117.94,0,0,0,3,1
MD Dai (PNG),2015-2016,6,5,0,45,19,9,70,64.28,0,0,0,1,0
JH Davey (SCOT),2012-2016,11,5,1,45,24,11.25,34,132.35,0,0,0,2,2
Haris Sohail (PAK),2013-2015,4,4,1,45,30,15,49,91.83,0,0,0,1,1
Haseeb Amjad (HK),2014-2016,18,10,6,45,12,11.25,45,100,0,0,0,3,1
JM Davison (Can),2008-2010,5,5,0,44,19,8.8,40,110,0,0,2,2,3
CH Morris (SA),2012-2016,11,5,2,44,17,14.66,39,112.82,0,0,1,4,1
Saad Nasim (PAK),2014-2014,3,2,0,44,25,22,53,83.01,0,0,0,0,1
GJ Thompson (IRE),2016-2016,1,1,0,44,44,44,32,137.5,0,0,0,7,0
S Badrinath (INDIA),2011-2011,1,1,0,43,43,43,37,116.21,0,0,0,5,0
NO Miller (WI),2009-2014,9,5,4,43,15,43,47,91.48,0,0,0,2,0
SM Sharif (SCOT),2012-2016,20,8,3,43,26,8.6,38,113.15,0,0,2,4,0
TP Ura (PNG),2015-2015,3,3,0,43,32,14.33,38,113.15,0,0,0,5,1
Amjad Ali (UAE),2014-2015,5,5,1,42,20,10.5,52,80.76,0,0,0,6,0
NG Jones (IRE),2010-2012,5,4,2,42,14,21,38,110.52,0,0,1,1,2
AT Rayudu (INDIA),2014-2016,6,5,1,42,20,10.5,50,84,0,0,2,5,0
Abdur Razzak (BDESH),2006-2014,34,20,10,41,9,4.1,74,55.4,0,0,5,1,0
K Jethi (Can),2008-2008,5,5,1,41,24,10.25,59,69.49,0,0,1,0,2
Mohammad Amir (PAK),2009-2016,31,8,3,41,21,8.2,51,80.39,0,0,1,1,2
K Pala (PNG),2015-2015,2,2,1,41,22,41,30,136.66,0,0,0,4,2
GH Dockrell (IRE),2010-2016,39,10,3,40,10,5.71,41,97.56,0,0,3,2,1
MJ Santner (NZ),2015-2016,10,7,1,40,18,6.66,47,85.1,0,0,1,3,0
KDK Vithanage (SL),2014-2016,3,3,0,40,38,13.33,34,117.64,0,0,0,7,0
RR David (Can),2008-2008,4,4,0,39,17,9.75,65,60,0,0,0,2,1
BR Dunk (AUS),2014-2014,3,3,0,39,23,13,34,114.7,0,0,0,3,1
EMDY Munaweera (SL),2012-2013,4,4,1,39,17,13,42,92.85,0,0,0,5,0
Munir Dar (HK),2014-2014,2,2,0,39,36,19.5,33,118.18,0,0,0,3,1
Rafatullah Mohmand (PAK),2015-2015,3,3,0,39,23,13,45,86.66,0,0,1,4,0
RI Ahmed (Neth),2015-2015,2,2,0,38,25,19,50,76,0,0,0,2,0
C Carter (HK),2015-2016,8,4,1,38,15,12.66,42,90.47,0,0,0,3,0
R Flannigan (SCOT),2012-2012,4,4,1,38,18,12.66,33,115.15,0,0,1,4,0
AV Lalcheta (Oman),2015-2016,11,5,2,38,16,12.66,29,131.03,0,0,0,6,0
NJ Maddinson (AUS),2013-2014,2,2,0,38,34,19,22,172.72,0,0,0,6,1
D Mongia (INDIA),2006-2006,1,1,0,38,38,38,45,84.44,0,0,0,4,1
F Mutizwa (ZIM),2011-2012,3,3,0,38,22,12.66,36,105.55,0,0,1,3,0
BJ Watling (NZ),2009-2014,5,4,0,38,22,9.5,58,65.51,0,0,0,3,0
SJ Benn (WI),2008-2016,24,7,4,37,13,12.33,42,88.09,0,0,1,5,1
JS Foster (ENG),2009-2009,5,5,2,37,14,12.33,32,115.62,0,0,0,0,1
RM Hira (NZ),2012-2013,15,3,1,37,20,18.5,33,112.12,0,0,0,4,1
RJ Campbell (HK),2016-2016,3,3,0,36,27,12,47,76.59,0,0,1,6,0
PA Patel (INDIA),2011-2011,2,2,0,36,26,18,32,112.5,0,0,0,4,1
Aaqib Sulehri (Oman),2015-2016,5,5,1,35,16,8.75,41,85.36,0,0,0,5,0
STR Binny (INDIA),2015-2016,3,2,0,35,24,17.5,29,120.68,0,0,0,2,1
BCJ Cutting (AUS),2013-2014,4,3,0,35,29,11.66,23,152.17,0,0,1,1,3
VV Morea (PNG),2015-2016,4,4,0,35,19,8.75,41,85.36,0,0,0,4,0
D Murphy (SCOT),2013-2013,4,4,3,35,20,35,35,100,0,0,0,1,0
MP O'Dowd (Neth),2015-2016,5,4,1,35,17,11.66,39,89.74,0,0,0,1,1
Shuvagata Hom (BDESH),2016-2016,5,4,2,35,16,17.5,35,100,0,0,0,3,1
Arafat Sunny (BDESH),2014-2016,10,6,3,34,10,11.33,30,113.33,0,0,0,3,1
Hammad Azam (PAK),2012-2013,5,4,1,34,21,11.33,34,100,0,0,0,3,1
JD Nel (SCOT),2007-2010,10,5,2,34,13,11.33,25,136,0,0,1,3,1
OL Pitcher (Ber),2008-2008,3,3,0,34,15,11.33,53,64.15,0,0,0,1,0
T van der Gugten (Neth),2012-2016,22,5,2,34,12,11.33,29,117.24,0,0,0,1,2
GO Jones (ENG),2005-2006,2,2,1,33,19,33,25,132,0,0,0,5,0
MF Maharoof (SL),2006-2016,8,5,1,33,13,8.25,43,76.74,0,0,1,0,1
RJMGM Rupasinghe (SL),2009-2009,2,2,0,33,18,16.5,39,84.61,0,0,0,2,0
WPUJC Vaas (SL),2006-2007,6,2,1,33,21,33,41,80.48,0,0,0,1,0
WD Balaji Rao (Can),2008-2008,4,4,1,32,22,10.66,30,106.66,0,0,1,1,2
SE Findlay (WI),2008-2008,2,2,0,32,19,16,31,103.22,0,0,0,4,0
TG Gordon (Can),2012-2012,3,3,0,32,23,10.66,37,86.48,0,0,0,3,0
GA Lamb (ZIM),2010-2010,5,4,2,32,14,16,54,59.25,0,0,1,1,0
AR McBrine (IRE),2014-2016,12,5,3,32,10,16,26,123.07,0,0,0,3,0
SNJ O'Keefe (AUS),2010-2011,7,5,0,32,22,6.4,26,123.07,0,0,0,4,1
J Theron (SA),2010-2012,9,3,3,32,31,0,21,152.38,0,0,0,3,1
JC Tredwell (ENG),2012-2014,17,6,3,32,22,10.66,20,160,0,0,1,4,1
B Bhandari (Nepal),2014-2015,10,10,2,31,13,3.87,51,60.78,0,0,1,3,0
TR Birt (AUS),2010-2012,4,3,0,31,17,10.33,33,93.93,0,0,0,3,1
R Dravid (INDIA),2011-2011,1,1,0,31,31,31,21,147.61,0,0,0,0,3
Jahurul Islam (BDESH),2010-2013,3,3,0,31,18,10.33,23,134.78,0,0,0,3,1
PA Nixon (ENG),2007-2007,1,1,1,31,31,0,22,140.9,0,0,0,2,1
H Osinde (Can),2008-2013,11,6,2,31,17,7.75,34,91.17,0,0,0,1,2
WW Hinds (WI),2006-2010,5,5,1,30,14,7.5,41,73.17,0,0,1,3,0
Ehsan Khan (HK),2016-2016,1,1,1,29,29,0,22,131.81,0,0,0,2,1
WB Rankin (ENG/IRE),2009-2016,22,5,4,29,16,29,28,103.57,0,0,0,2,1
Abdul Shakoor (UAE),2015-2015,4,3,1,28,20,14,34,82.35,0,0,0,2,0
S Badree (WI),2012-2016,32,8,5,28,14,9.33,43,65.11,0,0,0,1,0
TE Kane (IRE),2015-2015,5,2,1,28,26,28,20,140,0,0,0,3,0
A Nehra (INDIA),2009-2016,23,5,0,28,22,5.6,39,71.79,0,0,3,1,2
PJ Ongondo (Kenya),2007-2008,8,6,0,28,16,4.66,23,121.73,0,0,2,1,2
AU Rashid (ENG),2009-2016,20,8,5,28,9,9.33,37,75.67,0,0,0,1,0
NE Bonner (WI),2011-2012,2,2,0,27,24,13.5,38,71.05,0,0,0,2,0
Mohammad Iqbal (Can),2008-2008,3,3,0,27,22,9,39,69.23,0,0,0,1,0
Nadeem Ahmed (HK),2014-2016,21,8,4,27,10,6.75,39,69.23,0,0,1,2,0
Nadif Chowdhury (BDESH),2006-2007,3,3,0,27,12,9,23,117.39,0,0,0,2,0
MP Vaughan (ENG),2005-2007,2,2,0,27,27,13.5,22,122.72,0,0,1,4,0
Zulfiqar Babar (PAK),2013-2014,7,3,3,27,13,0,27,100,0,0,0,2,1
D Ganga (WI),2006-2006,1,1,0,26,26,26,31,83.87,0,0,0,3,1
Hamza Tariq (Can),2013-2013,3,2,0,26,22,13,23,113.04,0,0,0,0,2
TJ Murtagh (IRE),2012-2016,14,5,3,26,12,13,25,104,0,0,0,0,1
Shapoor Zadran (AFG),2010-2016,27,12,5,26,13,3.71,63,41.26,0,0,3,0,3
RA Bhatti (Can),2012-2012,4,4,1,25,11,8.33,37,67.56,0,0,1,1,0
PJ Cummins (AUS),2011-2015,15,8,2,25,13,4.16,31,80.64,0,0,2,1,1
AM Ellis (NZ),2012-2013,5,5,2,25,16,8.33,21,119.04,0,0,0,1,1
CRD Fernando (SL),2006-2016,18,7,2,25,21,5,27,92.59,0,0,2,4,0
G Goudie (SCOT),2010-2013,9,6,2,25,9,6.25,20,125,0,0,0,2,1
RK Kleinveldt (SA),2008-2013,6,3,2,25,22,25,10,250,0,0,0,1,3
PM Nevill (AUS),2016-2016,9,5,4,25,10,25,11,227.27,0,0,0,1,2
N Pooran (WI),2016-2016,3,3,0,25,16,8.33,22,113.63,0,0,0,2,1
Raza-ur-Rehman (Can),2012-2013,5,4,0,25,10,6.25,29,86.2,0,0,0,3,0
Shahriar Nafees (BDESH),2006-2006,1,1,0,25,25,25,17,147.05,0,0,0,3,1
Waqas Khan (HK),2014-2016,5,4,2,25,19,12.5,42,59.52,0,0,1,1,0
MRJ Watt (SCOT),2015-2016,14,5,3,25,11,12.5,17,147.05,0,0,1,2,1
Amjad Gul (UAE),2015-2015,1,1,0,24,24,24,21,114.28,0,0,0,3,1
JW Dernbach (ENG),2011-2014,34,7,2,24,12,4.8,21,114.28,0,0,1,3,0
JN Gillespie (AUS),2005-2005,1,1,0,24,24,24,18,133.33,0,0,0,4,0
Rameez Raja (2) (PAK),2011-2011,2,2,0,24,23,12,29,82.75,0,0,0,2,0
CP Schofield (ENG),2007-2007,4,4,3,24,9,24,20,120,0,0,0,2,0
C Zhuwao (ZIM),2008-2011,5,5,0,24,12,4.8,39,61.53,0,0,3,4,0
KJ Abbott (SA),2013-2016,21,6,4,23,9,11.5,20,115,0,0,0,2,0
AB Barath (WI),2010-2011,2,2,0,23,15,11.5,39,58.97,0,0,0,3,0
Bilawal Bhatti (PAK),2013-2015,9,4,2,23,13,11.5,14,164.28,0,0,1,2,1
T Panyangara (ZIM),2013-2016,14,5,4,23,17,23,17,135.29,0,0,0,1,2
JNT Vare (PNG),2015-2016,5,4,0,23,13,5.75,23,100,0,0,0,2,0
Zulqarnain Haider (PAK),2007-2010,3,3,0,23,17,7.66,30,76.66,0,0,0,1,0
Abdur Rehman (PAK),2007-2013,8,5,3,22,7,11,29,75.86,0,0,0,0,0
Ahmed Raza (UAE),2014-2016,13,5,2,22,9,7.33,41,53.65,0,0,1,0,1
AB Dinda (INDIA),2009-2012,9,2,1,22,19,22,24,91.66,0,0,0,1,0
PJ Ingram (NZ),2010-2010,3,3,1,22,20,11,35,62.85,0,0,1,3,0
WP Masakadza (ZIM),2015-2016,7,5,3,22,6,11,27,81.48,0,0,0,2,0
DP Nannes (AUS/Neth),2009-2010,17,5,3,22,12,11,18,122.22,0,0,0,1,1
E Otieno (Kenya),2012-2013,10,5,1,22,8,5.5,43,51.16,0,0,0,0,1
TD Paine (AUS),2009-2011,5,3,0,22,21,7.33,18,122.22,0,0,1,2,1
B Regmi (Nepal),2014-2015,11,9,3,22,11,3.66,52,42.3,0,0,1,2,0
FL Reifer (WI),2009-2009,1,1,0,22,22,22,20,110,0,0,0,2,1
L Siaka (PNG),2015-2016,6,6,0,22,8,3.66,36,61.11,0,0,1,1,1
Umair Ali (UAE),2015-2015,3,3,2,22,13,22,18,122.22,0,0,0,2,1
Anas Khan (HK),2014-2014,1,1,1,21,21,0,28,75,0,0,0,2,0
SE Bond (NZ),2005-2010,20,8,3,21,8,4.2,21,100,0,0,2,2,0
MR Gillespie (NZ),2006-2008,11,6,4,21,7,10.5,29,72.41,0,0,0,0,0
Kamran Shazad (UAE),2014-2014,3,2,0,21,21,10.5,17,123.52,0,0,1,1,2
AF Milne (NZ),2010-2016,18,7,7,21,10,0,23,91.3,0,0,0,1,0
Mohammad Sami (PAK),2010-2016,13,4,3,21,8,21,30,70,0,0,0,2,0
Rony Talukdar (BDESH),2015-2015,1,1,0,21,21,21,22,95.45,0,0,0,0,1
Shoaib Akhtar (PAK),2006-2010,15,6,3,21,8,7,16,131.25,0,0,1,2,1
SJS Smith (SCOT),2010-2012,5,4,1,21,9,7,40,52.5,0,0,1,1,0
RL Bhudia (Kenya),2007-2007,3,3,1,20,11,10,20,100,0,0,1,0,2
JL Denly (ENG),2009-2010,5,5,0,20,14,4,29,68.96,0,0,2,2,0
DL Hemp (Ber),2008-2008,2,2,0,20,20,10,32,62.5,0,0,1,2,1
MJ North (AUS),2009-2009,1,1,0,20,20,20,21,95.23,0,0,0,1,0
S Sreesanth (INDIA),2006-2008,10,3,2,20,19,20,14,142.85,0,0,1,4,0
Fahad Tariq (UAE),2016-2016,6,5,1,19,16,4.75,24,79.16,0,0,2,1,1
HGJM Kulatunga (SL),2008-2008,2,2,0,19,11,9.5,38,50,0,0,0,0,0
CJ McKay (AUS),2010-2013,6,4,2,19,7,9.5,22,86.36,0,0,1,1,1
Muktar Ali (BDESH),2016-2016,1,1,1,19,19,0,15,126.66,0,0,0,1,1
RLB Rambukwella (SL),2013-2016,2,1,0,19,19,19,16,118.75,0,0,0,1,1
SV Samson (INDIA),2015-2015,1,1,0,19,19,19,24,79.16,0,0,0,1,0
RW Chakabva (ZIM),2008-2015,5,5,0,18,13,3.6,40,45,0,0,2,1,0
DT Christian (AUS),2010-2014,15,6,3,18,6,6,15,120,0,0,1,2,0
LHD Dilhara (SL),2008-2008,2,1,1,18,18,0,9,200,0,0,0,0,1
XJ Doherty (AUS),2012-2013,11,4,3,18,9,18,17,105.88,0,0,0,1,0
Khurram Chohan (Can),2010-2010,4,4,2,18,8,9,14,128.57,0,0,0,1,1
SW Masakadza (ZIM),2010-2013,7,5,1,18,9,4.5,24,75,0,0,1,1,0
CT Mutombodzi (ZIM),2013-2016,5,5,1,18,12,4.5,24,75,0,0,1,1,0
Nauman Anwar (PAK),2015-2015,1,1,0,18,18,18,10,180,0,0,0,2,1
Naved-ul-Hasan (PAK),2006-2010,4,2,1,18,17,18,16,112.5,0,0,0,0,2
Raza Hasan (PAK),2012-2014,10,4,4,18,13,0,25,72,0,0,0,2,0
Shafiul Islam (BDESH),2010-2013,11,4,1,18,16,6,24,75,0,0,1,1,1
S Thuraisingam (Can),2008-2008,3,2,1,18,15,18,24,75,0,0,0,1,0
JW Wilson (NZ),2005-2005,1,1,0,18,18,18,14,128.57,0,0,0,2,0
