"Player","Mat","Inns","NO","Runs","HS","Ave","BF","SR","hundreds","fiftys","fours","sixes","CLUSTER"
"D Kalyankrishna","3","1","0","3","3","3","8","37.5","0","0","0","0","8","D Kalyankrishna"
"H Das","1","1","0","2","2","2","5","40","0","0","0","0","8","H Das"
"Pradeep Sangwan","33","10","6","22","6","5.5","31","70.96","0","0","1","0","8","PJ Sangwan"
"Karanveer Singh","9","4","3","12","5","12","17","70.58","0","0","1","0","8","Karanveer Singh"
"Sudeep Tyagi","14","3","2","3","3","3","4","75","0","0","0","0","8","S Tyagi"
"Jayant Yadav","8","2","0","6","5","3","10","60","0","0","0","0","8","J Yadav"
"Parvinder Awana","33","7","5","5","4","2.5","14","35.71","0","0","0","0","8","P Awana"
"SM Harwood","3","2","2","9","6","0","14","64.28","0","0","0","0","8","SM Harwood"
"T Henderson","2","2","0","11","11","5.5","16","68.75","0","0","0","1","8","T Henderson"
"Kamran Khan","9","2","1","3","3","3","5","60","0","0","0","0","8","Kamran Khan"
"Udit Birla","2","1","0","7","7","7","14","50","0","0","1","0","8","UA Birla"
"Ben Hilfenhaus","17","1","1","0","0","0","0","0","0","0","0","0","8","BW Hilfenhaus"
"Shivil Kaushik","7","2","1","0","0","0","1","0","0","0","0","0","8","S Kaushik"
"Ali Murtaza","12","3","2","10","5","10","14","71.42","0","0","1","0","8","AG Murtaza"
"Siddarth Kaul","11","3","3","9","7","0","11","81.81","0","0","0","0","8","S Kaul"
"Ankit Rajpoot","6","1","1","2","2","0","6","33.33","0","0","0","0","8","AS Rajpoot"
"Chamara Kapugedera","5","3","0","16","8","5.33","23","69.56","0","0","0","0","8","CK Kapugedera"
"Mohammed Shami","31","10","5","11","5","2.2","27","40.74","0","0","0","0","8","Mohammed Shami"
"T Kohli","4","4","1","11","7","3.66","19","57.89","0","0","0","1","8","T Kohli"
"Sachithra Senanayake","8","4","3","10","7","10","17","58.82","0","0","0","0","8","SMSM Senanayake"
"Glenn McGrath","14","3","2","4","4","4","5","80","0","0","1","0","8","GD McGrath"
"Ishwar Pandey","25","1","0","0","0","0","2","0","0","0","0","0","8","IC Pandey"
"Pankaj Singh","17","5","3","7","4","3.5","12","58.33","0","0","0","0","8","Pankaj Singh"
"Amit Uniyal","2","2","1","4","4","4","7","57.14","0","0","0","0","8","A Uniyal"
"Jaydev Unadkat","35","4","3","3","1","3","8","37.5","0","0","0","0","8","JD Unadkat"
"Pragyan Ojha","92","23","11","17","4","1.41","45","37.77","0","0","0","0","8","PP Ojha"
"Shane Bond","8","1","0","1","1","1","2","50","0","0","0","0","8","SE Bond"
"Akshdeep Nath","4","3","0","20","12","6.66","27","74.07","0","0","1","0","8","AD Nath"
"Matthew Wade","3","3","0","22","11","7.33","33","66.66","0","0","0","0","8","MS Wade"
"Tim Paine","2","2","0","10","8","5","26","38.46","0","0","0","0","8","TD Paine"
"Peter Handscomb","2","1","0","6","6","6","12","50","0","0","0","0","8","PSP Handscomb"
"Nayan Doshi","4","1","0","0","0","0","13","0","0","0","0","0","8","ND Doshi"
"RS Gavaskar","2","1","0","2","2","2","8","25","0","0","0","0","8","RS Gavaskar"
"Shanthakumaran Sreesanth","44","14","10","34","15","8.5","55","61.81","0","0","6","0","8","S Sreesanth"
"T Thushara","6","4","2","12","8","6","18","66.66","0","0","0","0","8","T Thushara"
"Adam Zampa","5","1","0","0","0","0","1","0","0","0","0","0","8","A Zampa"
"Imran Tahir","20","5","1","18","5","4.5","23","78.26","0","0","3","0","8","Imran Tahir"
"Ryan Ninan","2","1","0","3","3","3","6","50","0","0","0","0","8","R Ninan"
"Andre Nel","1","1","0","0","0","0","0","0","0","0","0","0","8","A Nel"
"Ajit Chandila","12","2","2","4","4","0","7","57.14","0","0","0","0","8","A Chandila"
"Sandeep Sharma","43","9","8","19","7","19","29","65.51","0","0","1","0","8","Shivam Sharma","Sandeep Sharma"
"Clint McKay","2","1","0","8","8","8","15","53.33","0","0","0","0","8","CJ McKay"
"Beuran Hendricks","7","3","2","1","1","1","3","33.33","0","0","0","0","8","BE Hendricks"
"Shreyas Gopal","6","3","1","14","11","7","27","51.85","0","0","1","0","8","S Gopal"
"U Kaul","5","1","1","0","0","0","1","0","0","0","0","0","8","U Kaul"
"Ben Laughlin","2","2","1","4","4","4","9","44.44","0","0","0","0","8","B Laughlin"
"Ashok Dinda","75","16","7","19","6","2.11","41","46.34","0","0","1","0","8","AB Dinda"
"Sunny Gupta","1","1","0","0","0","0","1","0","0","0","0","0","8","Sunny Gupta"
"KP Appanna","14","3","2","2","1","2","4","50","0","0","0","0","8","KP Appanna"
"Younis Khan","1","1","0","3","3","3","7","42.85","0","0","0","0","8","Younis Khan"
"Mohammad Ashraful","1","1","0","2","2","2","10","20","0","0","0","0","8","Mohammad Ashraful"
"Shrikant Wagh","8","2","0","2","2","1","3","66.66","0","0","0","0","8","SB Wagh"
"Muttiah Muralitharan","66","9","3","20","6","3.33","30","66.66","0","0","1","0","8","M Muralitharan"
"Mohammad Asif","8","2","0","3","3","1.5","6","50","0","0","0","0","8","Mohammad Asif"
"YA Abdulla","11","1","1","0","0","0","1","0","0","0","0","0","8","YA Abdulla"
"Abdur Razzak","1","1","1","0","0","0","2","0","0","0","0","0","8","Abdur Razzak"
"Tanmay Srivastava","7","3","2","8","7","8","11","72.72","0","0","0","0","8","TM Srivastava"
"Marchant de Lange","5","1","0","1","1","1","2","50","0","0","0","0","8","M de Lange"
"C Ganapathy","1","1","1","0","0","0","0","0","0","0","0","0","8","C Ganapathy"
"Shoaib Akhtar","3","1","0","2","2","2","7","28.57","0","0","0","0","8","Shoaib Akhtar"
"Parthiv Patel","103","101","10","1927","81","21.17","1688","114.15","0","8","248","27","9","PA Patel"
"Shaun Marsh","62","61","7","2213","115","40.98","1672","132.35","1","18","230","73","9","SE Marsh"
"Michael Hussey","59","58","7","1977","116","38.76","1612","122.64","1","15","198","52","9","MEK Hussey"
"Manish Pandey","89","83","13","1819","114","25.98","1536","118.42","1","7","169","52","9","MK Pandey"
"Adam Gilchrist","80","80","4","2069","109","27.22","1495","138.39","2","11","239","92","9","AC Gilchrist"
"JP Duminy","77","73","23","1993","78","39.86","1596","124.87","0","14","123","78","9","JP Duminy"
"Suresh Raina","147","143","21","4098","100","33.59","2957","138.58","1","28","360","160","10","SK Raina"
"Rohit Sharma","142","138","23","3874","109","33.68","2941","131.72","1","29","323","163","10","R Sharma","RG Sharma"
"Virat Kohli","139","131","23","4110","113","38.05","3151","130.43","4","26","359","149","10","V Kohli"
"Gautam Gambhir","132","131","13","3634","93","30.79","2927","124.15","0","31","422","51","10","G Gambhir"
"James Faulkner","52","39","18","473","46","22.52","332","142.46","0","0","32","23","11","JP Faulkner"
"Corey Anderson","16","15","3","379","95","31.58","278","136.33","0","3","32","21","11","CJ Anderson"
"Deepak Hooda","31","24","1","295","54","12.82","216","136.57","0","1","15","16","11","DJ Hooda"
"Rajat Bhatia","92","47","18","326","26","11.24","267","122.09","0","0","24","12","11","R Bhatia"
"Ravichandran Ashwin","111","37","15","231","29","10.5","240","96.25","0","0","22","2","11","R Ashwin"
"Andre Russell","34","25","3","574","66","26.09","331","173.41","0","3","48","37","11","AD Russell"
"Cheteshwar Pujara","30","22","3","390","51","20.52","391","99.74","0","1","50","4","11","CA Pujara"
"Yogesh Nagar","26","20","6","284","43","20.28","259","109.65","0","0","20","9","11","Y Nagar"
"SA Asnodkar","20","20","0","423","60","21.15","339","124.77","0","2","56","10","11","SA Asnodkar"
"Aditya Tare","32","25","4","321","59","15.28","250","128.4","0","1","37","11","11","AP Tare"
"Gurkeerat Mann Singh","28","24","3","342","51","16.28","272","125.73","0","1","36","9","11","Gurkeerat Singh"
"K Goel","22","17","2","218","38","14.53","231","94.37","0","0","17","9","11","K Goel"
"Mark Boucher","31","24","10","394","50","28.14","309","127.5","0","1","32","13","11","MV Boucher"
"Darren Sammy","22","20","5","295","60","19.66","241","122.4","0","1","15","18","11","DJG Sammy"
"VVS Laxman","20","20","2","282","52","15.66","267","105.61","0","1","33","5","11","VVS Laxman"
"Dwaraka Ravi Teja","32","25","6","375","60","19.73","317","118.29","0","1","35","9","11","DB Ravi Teja"
"Shakib Al Hasan","42","31","8","497","66","21.6","381","130.44","0","2","44","15","11","Shakib Al Hasan"
"Mohammad Kaif","29","22","4","259","34","14.38","250","103.6","0","0","22","6","11","M Kaif"
"Ashok Menaria","29","23","2","401","40","19.09","356","112.64","0","0","24","18","11","AL Menaria"
"Unmukt Chand","21","20","0","300","58","15","300","100","0","1","32","9","11","UBT Chand"
"Suryakumar Yadav","45","35","13","507","60","23.04","377","134.48","0","1","47","18","11","SA Yadav"
"Rajagopal Sathish","34","25","8","270","27","15.88","231","116.88","0","0","22","6","11","R Sathish"
"Azhar Mahmood","23","21","2","388","80","20.42","303","128.05","0","2","39","13","11","Azhar Mahmood"
"Karn Sharma","46","27","13","267","39","19.07","230","116.08","0","0","13","12","11","KV Sharma"
"Bharat Chipli","23","21","6","280","61","18.66","251","111.55","0","1","28","7","11","B Chipli"
"Dan Christian","23","22","4","341","39","18.94","292","116.78","0","0","17","13","11","DT Christian"
"Axar Patel","45","30","8","379","42","17.22","311","121.86","0","0","23","17","11","AR Patel"
"Shreyas Iyer","20","20","1","469","83","24.68","385","121.81","0","4","43","22","11","SS Iyer"
"Shreevats Goswami","23","16","1","241","52","16.06","251","96.01","0","1","26","2","11","SP Goswami"
"Amit Mishra","112","45","17","291","31","10.39","311","93.56","0","0","25","3","11","A Mishra"
"Johan Botha","34","28","8","409","67","20.45","359","113.92","0","1","39","5","11","J Botha"
"Ryan ten Doeschate","29","22","8","326","70","23.28","235","138.72","0","1","26","15","11","RN ten Doeschate"
"Laxmi Ratan Shukla","47","34","7","405","48","15","350","115.71","0","0","33","16","11","LR Shukla"
"Sunny Sohal","22","20","0","368","62","18.4","292","126.02","0","2","34","18","11","S Sohal"
"Debabrata Das","31","22","8","304","35","21.71","261","116.47","0","0","23","16","11","DB Das"
"James Franklin","20","16","5","327","79","29.72","301","108.63","0","1","25","8","11","JEC Franklin"
"Praveen Kumar","113","57","20","336","34","9.08","306","109.8","0","0","23","17","11","P Kumar","PM Sarvesh Kumar"
"James Hopes","21","19","3","417","71","26.06","306","136.27","0","4","49","11","11","JR Hopes"
"Owais Shah","23","22","7","506","76","33.73","389","130.07","0","4","34","23","11","OA Shah"
"Luke Pomersbach","17","16","5","302","79","27.45","246","122.76","0","1","25","13","11","LA Pomersbach"
